epoch,agriculture_acc,agriculture_loss,artisinal_mine_acc,artisinal_mine_loss,bare_ground_acc,bare_ground_loss,blooming_acc,blooming_loss,blow_down_acc,blow_down_loss,clear_acc,clear_loss,cloudy_acc,cloudy_loss,conventional_mine_acc,conventional_mine_loss,cultivation_acc,cultivation_loss,habitation_acc,habitation_loss,haze_acc,haze_loss,loss,partly_cloudy_acc,partly_cloudy_loss,primary_acc,primary_loss,road_acc,road_loss,selective_logging_acc,selective_logging_loss,slash_burn_acc,slash_burn_loss,val_agriculture_acc,val_agriculture_loss,val_artisinal_mine_acc,val_artisinal_mine_loss,val_bare_ground_acc,val_bare_ground_loss,val_blooming_acc,val_blooming_loss,val_blow_down_acc,val_blow_down_loss,val_clear_acc,val_clear_loss,val_cloudy_acc,val_cloudy_loss,val_conventional_mine_acc,val_conventional_mine_loss,val_cultivation_acc,val_cultivation_loss,val_habitation_acc,val_habitation_loss,val_haze_acc,val_haze_loss,val_loss,val_partly_cloudy_acc,val_partly_cloudy_loss,val_primary_acc,val_primary_loss,val_road_acc,val_road_loss,val_selective_logging_acc,val_selective_logging_loss,val_slash_burn_acc,val_slash_burn_loss,val_water_acc,val_water_loss,water_acc,water_loss
0,0.6771834690435079,0.61526909766434756,0.97655629971306002,0.089882008329661728,0.96373894830836992,0.14055011035792406,0.97674801236480358,0.090021058975302673,0.98362227368758981,0.057623912368695775,0.77991400477110018,0.51058144496329738,0.93941884047623392,0.19511923022935318,0.98192424854223925,0.065281028229552909,0.86930682212812194,0.39304432145174006,0.88866978829873344,0.33682061633135396,0.90808753136643261,0.26779443856328827,12.387739309304592,0.7965382194782189,0.51744656498340813,0.91422233160737087,0.26351739529201851,0.76734313927004194,0.51696041236263179,0.97765180079471348,0.092061364035971288,0.97962369952908224,0.077098392763076895,0.70162267068824569,1.2639229511285006,0.99103899699604003,0.070202602605757711,0.97868734032283777,0.14579441879302368,0.99007024208377425,0.069319431716672084,0.99733591865009241,0.028120592894911083,0.8118188406313035,0.46144566237998663,0.95035117866052321,0.1533309533383691,0.99733591807266797,0.022404191166597646,0.89028820895663641,0.35319833573857068,0.90821022131622597,0.57839874705375527,0.90530394503093858,0.37084584140197818,7.6086140655957344,0.7822717346790542,0.59829998723702449,0.9302494557667772,0.23742703819168348,0.77888108317515381,0.76807303566076934,0.99152337741147345,0.060095974175720962,0.99394526923935589,0.040153418612578685,0.8127875994484024,0.59392387435637772,0.79201928104079844,0.53236855729294952
1,0.69955906222553732,0.58461832824044713,0.99148249061341465,0.049285962188483912,0.97841865339324363,0.10437019059305316,0.99142771578460631,0.051076246568065857,0.99756251404541596,0.018411855126124269,0.79686686956274888,0.47970065950687851,0.9517979930872148,0.1551631977076906,0.99734341420780726,0.019382625258229601,0.88650617542221921,0.36704658221823683,0.90699202878295038,0.30397057176743075,0.92194560875135323,0.22535382677795521,8.5702965198891174,0.81546298673595441,0.48497248356972367,0.92871032242929974,0.21808710543385382,0.78407690510395778,0.48254966406580213,0.99123600381848009,0.053822933357546468,0.99465943995645989,0.035401042584700504,0.59966093460564807,0.65701639959730751,0.99249213600482045,0.04582366688613667,0.98014047954815242,0.092890328057985472,0.98982805119036588,0.062537668592466386,0.99709373006638213,0.019051814620304364,0.78469363343603071,0.47170594118068165,0.96342940296148616,0.099084559955256821,0.99782029754978663,0.028150884633972702,0.89198352629984223,0.35565842207016857,0.90821022073880153,0.40745495024100431,0.9285541281742864,0.24449127525466496,11.389692002331325,0.71252119059018748,0.52703806368887174,0.94696052614613002,0.17511955056259204,0.79777185622125424,0.49394087480066706,0.99176556621171796,0.05243955606519797,0.99370308065564561,0.037285226932969276,0.23758779381342968,1.0317419766080556,0.80754799714754599,0.50651071099408584
2,0.71845644033686817,0.56410715203419337,0.99153726616048887,0.045916563075279554,0.97844604008938185,0.096498237246964727,0.99175636665106659,0.048560401259992933,0.99758990178630458,0.017192800559654022,0.80878043488658513,0.45382057661159764,0.94966176745043562,0.16391408696068319,0.9973160265322154,0.018556822953910545,0.88719086233802247,0.36174761510729819,0.90696464180277059,0.28769618085501697,0.92273984657684127,0.22345464354153904,9.1102261060599226,0.81833867373699076,0.46693940463008116,0.92788869679762609,0.21926833207178822,0.79640128297264867,0.46750165976034441,0.99140032850079585,0.050548000034076765,0.99479637774674667,0.033965958317104236,0.70259142617793602,0.60430569127183986,0.99055462098346836,0.051757471119413423,0.97965609638995255,0.09011217360997148,0.99031243009006009,0.073702361638601138,0.99709372927242346,0.019692137698467203,0.76192782782099389,0.68916543181394663,0.96003875701529662,0.10890402031900462,0.99733591865009241,0.01681484291817182,0.89392104305346787,0.33465938645778831,0.90845240910597769,0.28908989443332067,0.92685880498465745,0.31659220282004624,8.70721519897047,0.82513925972329005,0.55043749053993885,0.94308549552600129,0.15723431198800208,0.78542019897062743,0.4420705131047804,0.99176556563429352,0.071078215545049214,0.99394526981678044,0.037827488204469281,0.80891256954283652,0.4965014141634897,0.8117382861778919,0.49053396093545981
3,0.73006874262328358,0.55831665889796245,0.99112645292022228,0.045786072665358356,0.97795306552005923,0.098069555786675061,0.99172897851839648,0.047105267406819154,0.99753512663101174,0.018076044676554628,0.82031057451841749,0.43945917501101683,0.9515515060425197,0.16535374985480486,0.99720647661341111,0.018661609286834639,0.88798510008678666,0.35528346942736422,0.90721113011096077,0.28897760000214645,0.92435570931573718,0.21425025758507435,7.8541204471424635,0.82696573814696583,0.45208491400939993,0.93007969767784904,0.21859180271940576,0.79815408161964807,0.45521295056446115,0.99140032837020209,0.049679723632180213,0.99476899013645181,0.034219016361597195,0.68878662876367969,0.5604578594544749,0.084766288842580945,7.9040850188721175,0.97989828634504605,0.091906214892579122,0.99176556621171796,0.070762017722401496,0.99806248671092146,0.014078496531711936,0.75054492454431798,2.4261869397975251,0.96342940606514282,0.2368085744231434,0.9975781083886518,0.020248166353573273,0.88835069083162765,0.46757194354361498,0.84088157194236424,0.48849582779664458,0.92613223439759629,0.64436261717644094,20.892167163663178,0.80794381275394112,1.4695346849416193,0.94381206207109092,0.29674263745727913,0.58658270604617946,0.70429849896023311,0.68442721982128141,0.51565586644357675,0.99394526866193145,0.051954209389165666,0.24170501316523374,1.3539538667288031,0.81102621007324116,0.48948563825159208
4,0.73543669381457832,0.54796973793553572,0.99120861607759136,0.040608593640185112,0.97778873914002395,0.096455018995090236,0.99175636633600905,0.047043185033492023,0.99756251404541596,0.017454298806344082,0.82636321266795842,0.4240738616396354,0.95492016929917112,0.14523923742229755,0.99728863918310817,0.018604038527276046,0.88817681317438713,0.35341904825667075,0.90715635490179802,0.27373196031962843,0.92635499663985432,0.20948512028838798,7.5366070546809523,0.83282666412306294,0.44283993468939403,0.93177772343209331,0.20642757073860579,0.8060142965751389,0.4408916465264105,0.99140032850079585,0.04870095371102106,0.99479637781204355,0.033705729415845154,0.69363041776062129,1.4585643691744057,0.99079680956717875,0.085918850167927163,0.97844515022338807,0.22281756817683679,0.98910148370696138,0.17536610002460726,0.99636716142812864,0.041399653841487284,0.30297893047924623,2.2530271260378636,0.94938242028371045,0.32661317710034582,0.99806248671092146,0.031229154375369501,0.88544441591772338,0.66198951231977066,0.90917897716680662,0.62589123531125823,0.92734318063633869,0.32948930803654802,12.964724567041007,0.82029547108723888,1.2342955457237448,0.92879632022254377,0.33345507517128598,0.79728748056957299,0.85045702443281079,0.99273432343368184,0.11006063717712104,0.99370308065564561,0.10149452634774953,0.81351416836815038,0.74137524595327597,0.81143702195369993,0.48163183989535419
5,0.77953057811923188,0.48822423933833003,0.9911538409875954,0.037731703532801988,0.97847342809145821,0.089687942538074855,0.99181114095749978,0.044683564469314978,0.99758990145982007,0.016637654303123466,0.84306959202448062,0.39171191423374768,0.95593350663578336,0.11322499061000216,0.99734341394661963,0.016877440436116324,0.8883685258163363,0.33485709145414999,0.91298989322515722,0.23661428231898896,0.93177772361655697,0.17439258842048339,6.4209571509857133,0.84769807967386646,0.40456159826067828,0.93413304799232455,0.17085282618542469,0.84035822746281141,0.37752318481840957,0.99142771624168458,0.046227196676612889,0.99482376522644778,0.031751497161518524,0.70501331836670877,0.62900512771792372,0.99103899757346448,0.058249334878759676,0.97771858216255914,0.11371021111096333,0.99031243066748453,0.083092220489431476,0.99782029754978663,0.016539422038772959,0.30176798290160067,2.1160262767960818,0.97069509013797961,0.22914176820611573,0.99733591922751696,0.020688156060615269,0.89319447658055628,0.37944963629535483,0.90627270514002489,0.35106381194088154,0.92879632173828308,0.32558932232781684,9.2826049799606167,0.81133446346388283,0.58221284212572977,0.95180431651445474,0.35521595687085533,0.79389682653944038,0.60070309749553841,0.99200775306315481,0.079336694562725199,0.99249213427254701,0.069971494565585823,0.81545168115198252,0.46079553030368114,0.8145591978163178,0.45711477080239815
6,0.79478541860133034,0.46402798859333211,0.9911264538996758,0.036500201168647939,0.97852820187551603,0.088385477836908741,0.99181114082690591,0.043877767866234395,0.99758990152511695,0.016495065890258509,0.84465806699963375,0.38873808398160054,0.95861748369489752,0.10327117231090162,0.99726125144221944,0.016228710083158095,0.88782077593827302,0.32556478435255404,0.91153835583297316,0.22825532654798783,0.93227069898086945,0.1667816357476074,6.0442062382813893,0.85377810583691061,0.39504952252611475,0.93856982504681918,0.16051950734129602,0.84572617941481498,0.35937734661068865,0.99145510300311979,0.045585914456727286,0.99482376561822916,0.031023471244041718,0.71736497727743098,0.53571521967367963,0.99103899641861548,0.047802630228034541,0.97699201583400364,0.11951324635004405,0.9895858626066556,0.074830827798919253,0.99709372948895758,0.026509598897112959,0.32283846027454416,1.6104877040125782,0.96294502810376348,0.10902413282679657,0.9975781083886518,0.017375910544056797,0.89149915360746157,0.34541000226874796,0.91063211364935492,0.31395435868091404,0.92564785434305308,0.20956207447694097,8.2537206214171217,0.30661177083932911,0.98534162375389389,0.94356987189946318,0.17657910917855602,0.8067328665151986,0.43707741383029175,0.99103899930573802,0.063202484586146648,0.99394526923935589,0.039715181254833885,0.81351416894557493,0.49690187805990643,0.81455919810035926,0.44895363838354707
7,0.80119409506601669,0.45008794135435926,0.99060609158946444,0.037451563421375123,0.97833649003998369,0.088538019467433227,0.99181114108809354,0.042929331076107261,0.99758990152511695,0.016365020034789953,0.84879358105915059,0.38241912423299235,0.95987730940499694,0.10135523191536704,0.99723386435429984,0.016671741575823244,0.88790293765911033,0.32136465511332341,0.91123709380602191,0.22389176268239402,0.93205159804464033,0.16685989100454515,5.8203341789763803,0.85484621911237857,0.38623592227707981,0.93887108943588593,0.15824136165754335,0.8457261809394977,0.35218975012818177,0.9914277161763877,0.0453454456412484,0.99479637755085593,0.030638244559267207,0.77137321434404404,0.47756816798649215,0.99031243066748453,0.043591746296768576,0.98135142362155303,0.084243242725523332,0.9900702415063497,0.072100356118218425,0.99733591922751696,0.022118183196488943,0.34536207420221393,1.5960964459892508,0.9685153848006437,0.12726090972953052,0.99709372948895758,0.019243233624755409,0.89464761226914591,0.33403244414667899,0.91450714354770302,0.24061790071170688,0.92371034300278221,0.18991327463685528,7.6754474480523411,0.35408089146086597,0.93809580219718725,0.9501089887054297,0.18521900576435357,0.84790506281209477,0.34213141336600411,0.99079680956717875,0.060185351102980233,0.99442964756162555,0.032844950587801784,0.81181884351842593,0.45077154289350929,0.81527127339859329,0.44482883707174936
8,0.80831484682893695,0.43855481210793951,0.99090735353969184,0.035268465377123283,0.97852820357323556,0.087147280588740772,0.99181114108809354,0.043294936865664067,0.99758990139452319,0.016347980641869892,0.85679073122733296,0.36519318785336496,0.96086326017606472,0.096323866682102174,0.99723386435429984,0.016265928881672709,0.88746473758068467,0.3184490879606901,0.91151096729709469,0.22168263923871118,0.93511899975427282,0.15917599226831428,5.5405811964820737,0.86621203401618729,0.36498581028133498,0.94045956494484129,0.15266447624259644,0.84906745593288524,0.34668062960533774,0.99142771630698145,0.045895367214201697,0.99482376535704153,0.030960824405406925,0.82610801651218546,0.41530513711459527,0.9932187029108005,0.032081810926078966,0.9798982892321686,0.095424921233676144,0.99007023977407616,0.077190184254663008,0.99733591865009241,0.025372121910421853,0.34221361012717488,1.4484063430223952,0.96875757222950498,0.08085974348814097,0.9975781083886518,0.014077627652212635,0.88859287789959862,0.31783710987090369,0.90724146330030353,0.28245823338653075,0.92443691026965247,0.18425181430111962,7.4605412259174626,0.28626786164811285,1.1338169704080638,0.94744490389097513,0.15602464777060876,0.84354565091039579,0.35154811189491658,0.99273432285625729,0.055374376736526065,0.99394527039420488,0.038413041022762502,0.78832647143047752,0.48744451937591171,0.81680497392855744,0.44030373280538032
9,0.8146961350956563,0.42479446857724446,0.99118122853259338,0.034252200380032578,0.97882946487049394,0.086466237914578387,0.99181114136070814,0.042948303508158793,0.99758990152511695,0.016227224339692956,0.86563689564795343,0.34461756179262409,0.96173965972239006,0.090484433315231746,0.99734341401191651,0.015437794479118352,0.88812203782320354,0.31288945743702851,0.9127707940519445,0.21630387135559925,0.94015830102427989,0.15152413885427984,5.3112118203229981,0.87741352406464346,0.33919683507470016,0.94344480310532319,0.14442697968058998,0.85205269357099189,0.33973186837778979,0.99145510339490117,0.044661569688701282,0.99482376535704153,0.029764943134388672,0.82731896296746221,0.39944888348223134,0.98982805061294143,0.036145427288746042,0.97892953143278028,0.0866932320142592,0.99031242951263554,0.045417794974335395,0.99685154032782275,0.021074231046616904,0.88253814251955842,0.32163406905624992,0.96875757627147652,0.072036563354070896,0.99685154032782275,0.014978580858405489,0.89488980547225228,0.29421200946272935,0.91426495763458104,0.21420810531331311,0.93969484171240292,0.14505311765171883,5.148293189836143,0.88617098513340131,0.32796884899957612,0.95325745184215394,0.12401940263437861,0.86170985676180401,0.31725728551869126,0.99273432285625729,0.038572554730986836,0.99321870117852695,0.037093155055252042,0.8101235155650448,0.43085279284853945,0.8168871370630727,0.43396704288770027
